X,Y,id,tag,map,fid,elev,type,bbox
3078002.775,1416001.44,ContourElevations.1,1,g40lc,1,806,contour,"[ 3078000.000000, 1416000.000000, 3078004.350000, 1416004.531700 ]"
3078182.49,1416173.2499999,ContourElevations.2,2,g40lc,2,818,contour,"[ 3078000.000000, 1416000.000000, 3078203.600000, 1416350.790000 ]"
3078165.05,1416168.27,ContourElevations.3,3,g40lc,3,816,contour,"[ 3078000.000000, 1416000.000000, 3078184.010000, 1416332.320000 ]"
3078115.33,1416130.42,ContourElevations.4,4,g40lc,4,810,index,"[ 3078000.000000, 1416000.000000, 3078137.060000, 1416259.410000 ]"
3078002.4299999,1416012.2963001,ContourElevations.5,5,g40lc,5,808,contour,"[ 3078000.000000, 1416000.000000, 3078016.170000, 1416016.642600 ]"
3080805.935,1416304.5,ContourElevations.6,6,g40lc,6,936,contour,"[ 3080614.590000, 1416000.000000, 3080948.799200, 1416608.450400 ]"
3080665.62,1416586.84000025,ContourElevations.7,7,g40lc,7,936,contour,"[ 3080317.830000, 1416000.000000, 3081295.070000, 1417179.000000 ]"
3080180.52,1416005.3599999,ContourElevations.8,8,g40lc,8,934,contour,"[ 3080179.110000, 1416000.000000, 3080187.490000, 1416015.180000 ]"
3082500.445,1416067.57,ContourElevations.9,9,g40lc,9,838,contour,"[ 3082481.520000, 1416000.000000, 3082647.820000, 1416148.490000 ]"
3079166.57759709,1416026.17,ContourElevations.10,10,g40lc,10,870,index,"[ 3079152.070000, 1416000.000000, 3079275.260000, 1416040.670000 ]"
3079206.78430204,1416002.36499996,ContourElevations.11,11,g40lc,11,874,contour,"[ 3079204.710000, 1416000.000000, 3079264.210000, 1416007.320000 ]"
3079184.23788209,1416017.85999967,ContourElevations.12,12,g40lc,12,872,contour,"[ 3079173.210000, 1416000.000000, 3079269.740000, 1416031.640000 ]"
3079087.95999962,1416001.68999958,ContourElevations.13,13,g40lc,13,866,contour,"[ 3079086.430000, 1416000.000000, 3079092.370000, 1416003.380000 ]"
3079055.67500007,1416002.16499994,ContourElevations.14,14,g40lc,14,866,contour,"[ 3079051.360000, 1416000.000000, 3079058.170000, 1416004.890000 ]"
3078985.8899999,1416003.52499995,ContourElevations.15,15,g40lc,15,866,contour,"[ 3078981.530000, 1416000.000000, 3079025.290000, 1416010.400000 ]"
3079087.68809483,1416017.2049998,ContourElevations.16,16,g40lc,16,862,contour,"[ 3079040.100000, 1416000.000000, 3079107.930000, 1416031.370000 ]"
3078946.13000015,1416025.59000015,ContourElevations.17,17,g40lc,17,862,contour,"[ 3078937.250000, 1416000.000000, 3079035.930000, 1416052.500000 ]"
3079082.24,1416004.98499995,ContourElevations.18,18,g40lc,18,864,contour,"[ 3079077.810000, 1416000.000000, 3079100.120000, 1416011.870000 ]"
3079068.45614277,1416004.14500024,ContourElevations.19,19,g40lc,19,864,contour,"[ 3079045.790000, 1416000.000000, 3079072.430000, 1416015.150000 ]"
3078962.91,1416018.37,ContourElevations.20,20,g40lc,20,864,contour,"[ 3078948.770000, 1416000.000000, 3079030.590000, 1416032.250000 ]"
3079052.76969472,1416040.72499995,ContourElevations.21,21,g40lc,21,860,index,"[ 3078923.890000, 1416000.000000, 3079115.800000, 1416082.340000 ]"
3078822.2645309,1416010.38,ContourElevations.22,22,g40lc,22,860,index,"[ 3078807.700000, 1416000.000000, 3078920.030000, 1416018.330000 ]"
3083203.80898381,1416028.85499978,ContourElevations.23,23,g40lc,23,854,contour,"[ 3083180.600000, 1416000.000000, 3083273.630000, 1416053.100000 ]"
3083232.49500041,1416002.04999989,ContourElevations.24,24,g40lc,24,856,contour,"[ 3083222.790000, 1416000.000000, 3083240.300000, 1416004.100000 ]"
3081403.64577144,1416004.21,ContourElevations.25,25,g40lc,25,854,contour,"[ 3081396.930000, 1416000.000000, 3081407.110000, 1416007.000000 ]"
3083207.11500005,1416139.81000013,ContourElevations.26,26,g40lc,26,850,index,"[ 3083090.440000, 1416000.000000, 3083301.360000, 1416276.310000 ]"
3083194.51401663,1416078.71499981,ContourElevations.27,27,g40lc,27,852,contour,"[ 3083136.560000, 1416000.000000, 3083283.700000, 1416161.210000 ]"
3083685.91613201,1416004.7499998,ContourElevations.28,28,g40lc,28,852,contour,"[ 3083659.270000, 1416000.000000, 3083750.400000, 1416009.390000 ]"
3081695.15999937,1416010.99499949,ContourElevations.29,29,g40lc,29,850,index,"[ 3081684.900000, 1416000.000000, 3081702.850000, 1416014.690000 ]"
3081614.4750004,1416002.06999949,ContourElevations.30,30,g40lc,30,850,index,"[ 3081610.010000, 1416000.000000, 3081616.100000, 1416004.110000 ]"
3083188.19565031,1416177.70499984,ContourElevations.31,31,g40lc,31,848,contour,"[ 3083068.240000, 1416000.000000, 3083335.460000, 1416353.800000 ]"
3081438.11,1416014.34,ContourElevations.32,32,g40lc,32,852,contour,"[ 3081381.960000, 1416000.000000, 3081443.210000, 1416028.450000 ]"
3078488.73,1416000.42,ContourElevations.33,33,g40lc,33,828,contour,"[ 3078485.340000, 1416000.000000, 3078504.500000, 1416001.500000 ]"
3081540.75500003,1416009.15,ContourElevations.34,34,g40lc,34,848,contour,"[ 3081507.490000, 1416000.000000, 3081564.360000, 1416014.440000 ]"
3083677.23239998,1416030.29,ContourElevations.35,35,g40lc,35,850,index,"[ 3083636.390000, 1416000.000000, 3083765.610000, 1416058.980000 ]"
3081298.30499996,1416013.02,ContourElevations.36,36,g40lc,36,850,index,"[ 3081295.300000, 1416000.000000, 3081376.700000, 1416028.870000 ]"
3081308.9799999,1416009.6399999,ContourElevations.37,37,g40lc,37,848,contour,"[ 3081305.480000, 1416000.000000, 3081367.450000, 1416020.610000 ]"
3083647.00499997,1416047.07499999,ContourElevations.38,38,g40lc,38,848,contour,"[ 3083622.730000, 1416000.000000, 3083783.710000, 1416096.360000 ]"
3083669.83361112,1416066.675,ContourElevations.39,39,g40lc,39,846,contour,"[ 3083600.960000, 1416000.000000, 3083797.380000, 1416133.740000 ]"
3081313.96273687,1416006.8,ContourElevations.40,40,g40lc,40,846,contour,"[ 3081313.540000, 1416000.000000, 3081357.860000, 1416013.250000 ]"
3083335.1699999,1416229.62499992,ContourElevations.41,41,g40lc,41,846,contour,"[ 3083004.700000, 1416000.000000, 3083387.640000, 1416454.040000 ]"
3081819.72655151,1416001.5399999,ContourElevations.42,42,g40lc,42,842,contour,"[ 3081815.080000, 1416000.000000, 3081830.310000, 1416002.900000 ]"
3083127.34500002,1416250.41499999,ContourElevations.43,43,g40lc,43,844,contour,"[ 3082953.910000, 1416000.000000, 3083400.850000, 1416501.220000 ]"
3083959.77958496,1416001.44,ContourElevations.44,44,g40lc,44,844,contour,"[ 3083951.020000, 1416000.000000, 3083989.700000, 1416003.720000 ]"
3083693.74394777,1416091.94500027,ContourElevations.45,45,g40lc,45,844,contour,"[ 3083582.170000, 1416000.000000, 3083812.500000, 1416183.320000 ]"
3082565.87499994,1416009.38499992,ContourElevations.46,46,g40lc,46,844,contour,"[ 3082558.710000, 1416000.000000, 3082585.690000, 1416020.000000 ]"
3083691.30500001,1416107.23500003,ContourElevations.47,47,g40lc,47,842,contour,"[ 3083571.920000, 1416000.000000, 3083829.870000, 1416214.710000 ]"
3082627.53904382,1416028.57500002,ContourElevations.48,48,g40lc,48,842,contour,"[ 3082538.350000, 1416000.000000, 3082627.870000, 1416059.680000 ]"
3082631.17690433,1416043.7399999,ContourElevations.49,49,g40lc,49,840,index,"[ 3082517.540000, 1416000.000000, 3082638.100000, 1416097.700000 ]"
3082154.66,1416001.86499997,ContourElevations.50,50,g40lc,50,838,contour,"[ 3082138.440000, 1416000.000000, 3082157.380000, 1416006.980000 ]"
3082131.99471762,1416018.24,ContourElevations.51,51,g40lc,51,836,contour,"[ 3082117.790000, 1416000.000000, 3082180.890000, 1416031.770000 ]"
3081889.59143381,1416156.2,ContourElevations.52,52,g40lc,52,836,contour,"[ 3081810.130000, 1416000.000000, 3082508.150000, 1416312.160000 ]"
3082181.73499995,1416141.7399999,ContourElevations.53,53,g40lc,53,834,contour,"[ 3082147.440000, 1416000.000000, 3082493.080000, 1416294.640000 ]"
